"","Benevolent","","","","","","","","",""
"1",0,0,0,0,0,1,1,0,3,1
"2",1,1,2,1,2,0,1,0,1,1
"3",0,3,0,0,0,3,0,1,0,0
"4",0,0,0,0,5,0,0,0,0,0
"5",2,2,3,3,3,4,3,1,1,2
"6",0,1,0,0,1,1,1,3,0,0
"7",3,5,4,3,4,3,5,0,3,3
"8",0,2,4,4,4,1,3,0,4,4
"9",1,4,1,1,0,5,5,0,0,1
"10",0,1,0,0,2,0,0,0,0,0
"11",0,3,0,0,3,0,0,0,0,0
"12",0,4,3,0,5,2,0,0,0,0
"13",0,2,0,0,0,0,1,0,0,0
"14",0,2,3,1,3,1,1,1,1,1
"15",2,3,2,2,2,2,1,2,2,2
"16",4,0,3,2,0,3,3,0,3,0
"17",0,1,3,0,0,0,3,0,0,0
"18",0,2,0,1,2,0,0,0,3,4
"19",1,2,4,0,2,2,3,0,2,0
"20",0,3,0,2,3,0,3,0,4,2
"21",3,0,3,0,1,4,3,4,2,1
"22",0,2,1,1,2,2,2,1,0,3
"23",1,1,0,2,3,2,2,2,3,0
"24",0,2,2,0,4,4,2,4,0,0
"25",1,3,0,1,1,0,1,0,0,0
"26",1,2,1,1,2,0,2,0,3,3
"27",0,1,0,2,1,1,0,0,3,1
"28",1,1,2,1,3,0,1,0,2,1
"29",1,2,3,0,2,3,4,3,0,1
"30",0,3,1,0,1,5,2,0,3,0
"31",5,5,5,5,5,4,4,2,3,3
"32",1,1,3,0,1,2,1,0,0,0
"33",0,1,0,0,3,1,0,2,1,1
"34",1,3,3,1,2,2,4,0,1,1
"35",0,4,0,0,0,0,0,0,0,0
"36",0,4,2,0,1,0,2,0,3,3
"37",0,3,1,0,0,3,2,0,2,1
"38",0,0,2,0,0,1,1,0,0,0
"39",0,1,0,1,1,0,0,1,1,2
"40",3,1,1,1,1,3,2,0,1,2
"41",0,4,3,0,4,5,3,1,0,0
"42",0,2,1,0,1,0,0,0,0,0
"43",0,2,0,2,2,0,0,1,2,2
"44",1,2,3,2,3,4,3,2,2,2
"45",0,1,0,0,5,3,2,0,0,0
"46",1,4,2,0,0,0,0,0,0,0
"47",0,0,0,0,1,1,1,0,0,1
"48",0,0,0,0,1,0,1,0,0,0
"49",3,5,3,2,4,4,3,2,0,0
"50",0,1,0,0,0,0,0,0,1,0
"51",0,0,0,0,0,0,0,0,0,0
"52",0,2,0,0,2,0,2,0,0,0
"53",0,1,0,1,2,0,2,1,0,0
"54",0,4,0,0,0,0,0,0,0,0
"55",0,0,1,0,3,0,0,0,0,0
"56",0,5,3,0,2,3,3,0,3,0
"57",0,0,1,3,0,0,0,0,0,0
"58",1,2,3,0,2,2,5,3,0,0
"59",0,2,1,1,1,1,1,0,0,0
"60",1,4,2,2,1,3,2,2,3,2
"61",0,1,0,0,1,0,0,1,0,0
"62",5,2,0,0,0,0,0,0,0,0
"63",0,0,1,1,1,0,3,0,2,1
"64",0,4,1,1,2,1,1,1,1,1
"65",1,0,0,0,0,0,1,0,0,1
"66",0,0,1,0,1,0,2,2,2,0
"67",0,1,1,0,0,0,0,0,0,1
"68",0,0,1,5,2,0,0,3,5,5
"69",0,0,3,0,0,0,2,0,0,0
"70",0,3,2,1,0,1,0,0,2,2
"71",0,0,1,0,0,0,0,0,0,0
"72",0,0,1,0,3,0,1,3,0,0
"73",2,3,1,0,3,3,3,1,0,1
