"","Hostile","","","","","","","","","",""
"1",1,1,1,0,0,0,1,1,1,1,1
"2",0,1,0,1,1,0,1,1,1,1,0
"3",3,1,2,3,1,3,1,0,1,2,2
"4",1,0,0,1,0,0,0,0,0,0,1
"5",3,3,4,4,4,3,4,4,4,3,5
"6",1,2,1,4,2,1,2,0,2,0,3
"7",0,0,0,1,1,0,0,0,0,1,0
"8",2,2,4,1,3,4,3,3,1,3,1
"9",1,3,1,3,0,0,1,1,2,1,3
"10",4,3,4,4,4,4,4,4,4,4,5
"11",0,0,0,0,0,0,0,0,0,0,1
"12",0,0,0,0,0,0,0,1,0,2,3
"13",0,0,0,1,1,0,1,0,0,0,1
"14",1,4,2,2,1,2,1,2,2,1,3
"15",2,3,4,4,3,4,3,3,3,3,4
"16",3,4,4,4,4,2,3,0,4,2,3
"17",0,0,0,0,0,0,0,1,0,1,0
"18",0,3,2,1,2,3,1,2,3,0,3
"19",2,2,2,3,0,2,2,0,2,0,2
"20",0,1,1,0,1,0,0,2,0,0,1
"21",2,3,3,3,4,3,5,3,4,3,4
"22",4,3,3,4,1,3,2,1,1,0,4
"23",4,3,3,1,4,3,5,2,2,1,3
"24",3,2,3,3,2,2,2,2,1,1,4
"25",0,3,1,0,1,0,1,0,0,0,4
"26",0,1,0,1,3,0,1,0,1,1,0
"27",1,1,1,1,1,1,1,1,0,0,1
"28",0,1,1,0,2,1,0,1,2,1,2
"29",1,4,3,2,2,3,3,2,2,3,2
"30",1,2,2,5,4,1,4,2,3,2,3
"31",2,2,3,0,3,0,4,2,2,0,1
"32",5,5,5,5,5,5,5,5,5,4,5
"33",1,3,1,2,1,1,1,0,1,0,4
"34",2,1,1,2,1,2,1,1,1,1,2
"35",0,0,0,5,0,0,0,0,0,0,3
"36",1,1,1,2,3,1,3,1,3,1,2
"37",0,3,0,0,0,0,0,0,0,0,0
"38",0,1,0,2,0,0,1,2,0,1,2
"39",0,1,0,1,0,0,1,0,1,1,0
"40",3,4,2,4,4,3,4,2,4,4,4
"41",0,1,1,0,0,0,1,1,0,4,1
"42",0,0,0,0,0,0,0,0,0,0,0
"43",1,2,2,1,1,1,2,1,2,1,2
"44",0,0,0,3,2,0,0,0,0,1,2
"45",0,0,1,1,0,4,2,2,0,2,1
"46",0,0,0,0,1,0,0,0,0,0,1
"47",2,1,3,5,2,3,2,2,1,1,5
"48",2,3,3,4,2,2,2,2,2,2,4
"49",3,1,1,1,2,3,3,3,0,1,4
"50",0,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0
"52",4,4,5,5,2,2,4,1,3,1,3
"53",2,2,1,0,2,2,2,0,1,3,0
"54",0,0,0,0,1,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",3,5,5,4,2,3,1,0,3,1,3
"57",2,2,1,1,4,0,0,0,1,0,3
"58",2,3,2,5,2,1,2,3,4,2,5
"59",2,2,2,2,2,1,3,2,3,2,2
"60",0,3,3,4,2,3,3,2,3,2,4
"61",1,2,2,1,1,0,2,2,1,1,2
"62",0,0,0,0,0,0,0,0,0,0,2
"63",3,2,1,3,3,1,3,1,2,3,4
"64",1,2,1,1,1,1,1,1,1,1,1
"65",1,0,0,3,0,1,0,0,0,0,2
"66",1,1,0,0,0,0,0,2,0,3,2
"67",0,1,0,2,0,0,1,0,0,1,3
"68",4,5,5,2,2,4,5,2,3,0,3
"69",1,0,0,5,0,0,0,0,0,2,5
"70",0,0,0,0,0,0,0,0,0,1,0
"71",1,1,0,1,1,1,1,0,1,0,2
"72",0,0,0,0,0,0,0,0,0,0,0
"73",3,0,1,3,2,3,3,2,1,2,3
